Date,Time,DateTime,Casino,Wallet Address,Amount,Token,USD Value
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
2026-02-15,11:10:11,2026-02-15T11:10:11.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.000162,ETH,0.45
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.011149,ETH,31.22
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.052338,ETH,146.55
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.032902,ETH,92.12
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000096,ETH,0.27
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.153673,ETH,430.28
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000096,ETH,0.27
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.009777,ETH,27.38
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.074192,ETH,207.74
2026-02-15,11:10:23,2026-02-15T11:10:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.024087,ETH,67.44
2026-02-15,11:11:23,2026-02-15T11:11:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.108658,ETH,304.24
2026-02-15,11:11:23,2026-02-15T11:11:23.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.006766,ETH,18.95
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000091,ETH,0.26
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000096,ETH,0.27
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,1.334943,ETH,3737.84
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000088,ETH,0.25
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000088,ETH,0.25
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000088,ETH,0.25
